n_estimators,max_depth,min_samples_split,train_accuracy,cv_accuracy,overfit_gap,training_time
50,5.0,2,0.9934,0.9538,0.0396,0.5911
100,5.0,2,0.9934,0.9604,0.033,1.1671
200,5.0,2,0.9934,0.9582,0.0352,2.1774
50,5.0,5,0.9912,0.9516,0.0396,0.5497
100,5.0,5,0.9934,0.9604,0.033,1.0882
200,5.0,5,0.9934,0.9495,0.044,2.1883
50,10.0,2,1.0,0.9538,0.0462,0.577
100,10.0,2,1.0,0.9582,0.0418,1.3614
200,10.0,2,1.0,0.9626,0.0374,2.5626
50,10.0,5,0.9956,0.9516,0.044,0.5566
100,10.0,5,0.9956,0.9582,0.0374,1.1225
200,10.0,5,0.9956,0.9582,0.0374,2.2458
50,,2,1.0,0.9538,0.0462,0.5772
100,,2,1.0,0.9582,0.0418,1.1593
200,,2,1.0,0.9626,0.0374,2.2987
50,,5,0.9956,0.9516,0.044,0.6665
100,,5,0.9956,0.9582,0.0374,1.1058
200,,5,0.9956,0.9582,0.0374,2.2132
